Username,User ID,Dataset Name,Subset index,Task ID,Label 1,Answer 1,Label 2,Answer 2,Task Type,Media File,Media Duration,Timestamp,Decision Time,Playback Count,Bad File?,Tracked Time
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,sneezing,,,Discrete (single-label),0cfbgdjdxeu_102.61-103.86.wav,1.25,2021-04-08 11:12:00+00:00,20441,1,False,0:00:21.250000
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),0cfbgdjdxeu_138.13-140.88.wav,2.75,2021-04-08 11:12:08+00:00,8159,1,False,0:00:08.952933
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,sneezing,,,Discrete (single-label),0cfbgdjdxeu_141.24-143.2.wav,1.96,2021-04-08 11:12:53+00:00,22416,1,False,0:00:21.960000
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),0cfbgdjdxeu_172.71-174.38.wav,1.67,2021-04-08 11:12:58+00:00,9168,2,False,0:00:05.272503
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,sneezing,,,Discrete (single-label),0cfbgdjdxeu_21.4-24.34.wav,2.94,2021-04-08 11:13:13+00:00,5757,1,False,0:00:06.988111
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,sneezing,,,Discrete (single-label),0cfbgdjdxeu_44.85-45.56.wav,0.71,2021-04-08 11:13:17+00:00,2841,1,False,0:00:03.210541
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,sneezing,,,Discrete (single-label),0cfbgdjdxeu_5.34-6.09.wav,0.75,2021-04-08 11:13:21+00:00,3589,1,False,0:00:04.182221
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,sneezing,,,Discrete (single-label),0cfbgdjdxeu_82.32-83.31.wav,0.99,2021-04-08 11:13:25+00:00,3820,1,False,0:00:04.372956
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,coughing,,,Discrete (single-label),0d2gwag0vt8_14.65-15.28.wav,0.63,2021-04-08 11:13:29+00:00,6880,2,False,0:00:04.552450
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,coughing,,,Discrete (single-label),0d2gwag0vt8_20.28-21.56.wav,1.28,2021-04-08 11:13:40+00:00,2782,1,False,0:00:03.140474
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,coughing,,,Discrete (single-label),0d2gwag0vt8_28.49-29.82.wav,1.33,2021-04-08 11:13:44+00:00,3710,1,False,0:00:04.195098
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,coughing,,,Discrete (single-label),0d2gwag0vt8_34.53-35.67.wav,1.14,2021-04-08 11:13:47+00:00,2915,1,False,0:00:03.494212
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,coughing,,,Discrete (single-label),0d2gwag0vt8_53.01-54.13.wav,1.12,2021-04-08 11:13:50+00:00,3044,1,False,0:00:03.944615
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,coughing,,,Discrete (single-label),0d2gwag0vt8_66.4-68.43.wav,2.03,2021-04-08 11:13:54+00:00,3672,1,False,0:00:03.937785
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,coughing,,,Discrete (single-label),0d2gwag0vt8_72.07-72.85.wav,0.78,2021-04-08 11:13:58+00:00,3265,1,False,0:00:03.503941
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,coughing,,,Discrete (single-label),0d2gwag0vt8_73.73-76.16.wav,2.43,2021-04-08 11:14:03+00:00,4733,1,False,0:00:05.630244
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,coughing,,,Discrete (single-label),0d2gwag0vt8_91.53-92.4.wav,0.87,2021-04-08 11:14:07+00:00,3008,1,False,0:00:04.107326
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),0fwagr8r2ro_0.89-2.61.wav,1.72,2021-04-08 11:14:12+00:00,5099,1,False,0:00:05.649389
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,coughing,,,Discrete (single-label),0fwagr8r2ro_14.21-22.51.wav,8.3,2021-04-08 11:14:24+00:00,11766,1,False,0:00:12.821430
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,coughing,,,Discrete (single-label),0fwagr8r2ro_22.81-29.28.wav,6.47,2021-04-08 11:14:36+00:00,11388,1,False,0:00:12.616198
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,coughing,,,Discrete (single-label),0fwagr8r2ro_29.57-32.56.wav,2.99,2021-04-08 11:14:42+00:00,5262,1,False,0:00:06.333225
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),0fwagr8r2ro_33.95-34.94.wav,0.99,2021-04-08 11:14:56+00:00,13946,2,False,0:00:14.699991
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,coughing,,,Discrete (single-label),0fwagr8r2ro_35.51-38.69.wav,3.18,2021-04-08 11:23:31+00:00,514402,3,False,0:00:29.540000
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,coughing,,,Discrete (single-label),0fwagr8r2ro_39.22-41.59.wav,2.37,2021-04-08 11:23:36+00:00,4542,1,False,0:00:05.409963
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,coughing,,,Discrete (single-label),0fwagr8r2ro_4.24-5.68.wav,1.44,2021-04-08 11:23:40+00:00,3436,1,False,0:00:04.285293
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,coughing,,,Discrete (single-label),0fwagr8r2ro_44.22-45.0.wav,0.78,2021-04-08 11:23:43+00:00,2746,1,False,0:00:03.645695
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),0fwagr8r2ro_6.88-14.01.wav,7.13,2021-04-08 11:24:08+00:00,23960,1,False,0:00:25.071951
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,coughing,,,Discrete (single-label),0knt0sj_uzm_10.49-12.67.wav,2.18,2021-04-08 11:24:12+00:00,4497,1,False,0:00:04.998493
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),0knt0sj_uzm_16.99-20.36.wav,3.37,2021-04-08 11:24:19+00:00,6274,1,False,0:00:06.799135
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),0knt0sj_uzm_20.69-23.03.wav,2.34,2021-04-08 11:24:25+00:00,4937,1,False,0:00:06.101633
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),0knt0sj_uzm_23.8-27.48.wav,3.68,2021-04-08 11:24:35+00:00,9794,1,False,0:00:10.283996
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,coughing,,,Discrete (single-label),0knt0sj_uzm_27.74-28.78.wav,1.04,2021-04-08 11:24:39+00:00,3761,1,False,0:00:04.424346
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,coughing,,,Discrete (single-label),0knt0sj_uzm_30.12-32.37.wav,2.25,2021-04-08 11:24:43+00:00,3565,1,False,0:00:04.524816
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,coughing,,,Discrete (single-label),0knt0sj_uzm_33.94-34.92.wav,0.98,2021-04-08 11:24:47+00:00,2999,1,False,0:00:04.116328
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),15zqadnorck_0.07-17.65.wav,17.58,2021-04-08 11:24:58+00:00,10720,1,False,0:00:11.329941
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),15zqadnorck_111.67-118.81.wav,7.14,2021-04-08 11:25:05+00:00,6246,1,False,0:00:07.092662
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),15zqadnorck_119.09-124.91.wav,5.82,2021-04-08 11:25:11+00:00,5410,1,False,0:00:06.020535
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),15zqadnorck_125.48-131.04.wav,5.56,2021-04-08 11:25:16+00:00,5440,1,False,0:00:05.923073
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),15zqadnorck_131.45-141.19.wav,9.74,2021-04-08 11:25:26+00:00,9207,1,False,0:00:09.564874
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),15zqadnorck_141.46-146.74.wav,5.28,2021-04-08 11:25:33+00:00,6288,1,False,0:00:07.309897
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),15zqadnorck_18.08-24.55.wav,6.47,2021-04-08 11:25:39+00:00,6002,1,False,0:00:06.771661
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),15zqadnorck_207.59-210.65.wav,3.06,2021-04-08 11:25:47+00:00,7199,1,False,0:00:08.529315
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),15zqadnorck_211.04-216.04.wav,5.0,2021-04-08 11:26:13+00:00,25870,2,False,0:00:26.798899
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),15zqadnorck_27.22-39.77.wav,12.55,2021-04-08 11:26:23+00:00,8943,1,False,0:00:10.257564
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),15zqadnorck_317.89-321.2.wav,3.31,2021-04-08 11:26:28+00:00,4555,1,False,0:00:05.190324
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),15zqadnorck_321.48-326.93.wav,5.45,2021-04-08 11:26:33+00:00,5141,1,False,0:00:05.865499
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),15zqadnorck_333.55-349.33.wav,15.78,2021-04-08 11:26:52+00:00,18265,1,False,0:00:18.694527
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),15zqadnorck_352.27-354.29.wav,2.02,2021-04-08 11:26:57+00:00,4102,1,False,0:00:05.223646
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),15zqadnorck_354.88-367.42.wav,12.54,2021-04-08 11:27:06+00:00,8412,1,False,0:00:09.081976
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),15zqadnorck_373.7-378.49.wav,4.79,2021-04-08 11:27:11+00:00,4976,1,False,0:00:05.481730
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),15zqadnorck_379.8-384.784.wav,4.98,2021-04-08 11:27:16+00:00,4530,1,False,0:00:05.299204
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),15zqadnorck_385.064-388.287.wav,3.22,2021-04-08 11:27:21+00:00,4676,1,False,0:00:05.418964
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),1bf8dkvt23o_10.52-13.55.wav,3.03,2021-04-08 11:27:25+00:00,3972,1,False,0:00:04.711064
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),1bf8dkvt23o_14.76-15.99.wav,1.23,2021-04-08 11:27:29+00:00,3154,1,False,0:00:04.257113
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),1bf8dkvt23o_16.64-18.01.wav,1.37,2021-04-08 11:27:33+00:00,3486,1,False,0:00:04.158874
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),1bf8dkvt23o_19.45-20.82.wav,1.37,2021-04-08 11:27:37+00:00,3603,1,False,0:00:04.084008
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),1bf8dkvt23o_21.31-25.72.wav,4.41,2021-04-08 11:27:42+00:00,4824,1,False,0:00:05.264743
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,sneezing,,,Discrete (single-label),1bf8dkvt23o_28.46-30.2.wav,1.74,2021-04-08 11:27:46+00:00,4075,1,False,0:00:04.669863
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),1bf8dkvt23o_31.19-33.24.wav,2.05,2021-04-08 11:27:50+00:00,3256,1,False,0:00:04.324662
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),1bf8dkvt23o_34.24-34.85.wav,0.61,2021-04-08 11:27:53+00:00,2611,1,False,0:00:03.286384
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,sneezing,,,Discrete (single-label),1bf8dkvt23o_41.36-42.12.wav,0.76,2021-04-08 11:27:56+00:00,2756,1,False,0:00:03.325795
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),1bf8dkvt23o_53.21-54.77.wav,1.56,2021-04-08 11:28:00+00:00,3881,1,False,0:00:04.505535
Rater009,11,cough-and-sneeze,1,674,cough_sneeze,other sounds,,,Discrete (single-label),1bf8dkvt23o_64.96-66.45.wav,1.49,2021-04-08 11:28:04+00:00,3429,1,False,0:00:04.285149
